web-scraper-order,web-scraper-start-url,title,pagination,pagination-href
"1554519877-2306","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","The business of being a user: The role of the reference actor in shaping packaged enterprise system acquisition and development.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519862-2261","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Hummel's Digital Transformation Toward Omnichannel Retailing: Key Lessons Learned.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519858-2257","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Transformational Issues of Big Data And Analytics in Networked Business.","",""
"1554519873-2293","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Comparing Potential and Actual Innovators: An Empirical Study of Mobile Data Services Innovation.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519862-2264","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","How DBS Bank Pursued a Digital Business Strategy.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519858-2252","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Enterprise system implementation and employee job performance: Understanding the role of advice networks.","",""
"1554519870-2284","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Information technology capability and firm performance: contradictory findings and their possible causes.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519870-2285","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Supply-Side Network Effects and the Development of Information Technology Standards.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519866-2274","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Control Configuration and Control Enactment in Information Systems Projects: Review and Expanded Theoretical Framework.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519877-2304","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Leveraging Customer Involvement for Fueling Innovation: The Role of Relational and Analytical Information Processing Capabilities.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519866-2277","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22MIS+Quarterly%22&btnG=","Explaining post-implementation employee system use and job performance: Impacts of the content and source of social network ties.","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22MIS+Quarterly%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
