web-scraper-order,web-scraper-start-url,title,pagination,pagination-href
"1554947740-24","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Working with connective flow: how smartphone use is evolving in practice","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947730-10","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","E-government adoption in public administration organizations: integrating institutional theory perspective and resource-based view","",""
"1554947751-42","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Critical review of organisation-technology sensemaking: towards technology materiality, discovery, and action","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947747-35","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","A generic cloud migration process model","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947747-39","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Fragmentation or cohesion? Visualizing the process and consequences of information system diversity, 1993–2012","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947730-9","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","The public procurement of information systems: dialectics in requirements specification","",""
"1554947740-25","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Being critical is good, but better with philosophy! From digital transformation and values to the future of IS research","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947730-3","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","An empirical analysis of the factors and measures of Enterprise Architecture Management success","",""
"1554947734-17","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","The effective promotion of informal control in information systems offshoring projects","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947730-1","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Effectiveness of top management support in enterprise systems success: a contingency perspective of fit between leadership style and system life-cycle","",""
"1554947740-29","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Understanding champion behaviour in a health-care information system development project–how multiple champions and champion behaviours build a coherent …","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947751-41","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","“How does tech make you feel?” a review and examination of negative affective responses to technology use","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947747-31","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Using organizational influence processes to overcome IS implementation barriers: lessons from a longitudinal case study of SPI implementation","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947740-23","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","The role of context in IT assimilation: A multi-method study of a SaaS platform in the US nonprofit sector","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947740-28","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Handle mergers and acquisitions with care: the fragility of trust between the IT-service provider and end-users","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=20&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554947734-14","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22European+Journal+of+Information+Systems%22&btnG=","Exploring the impact of operating model choice on the governance of inter-organizational workflow: the US e-prescribing network","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22European+Journal+of+Information+Systems%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
