web-scraper-order,web-scraper-start-url,title,pagination,pagination-href
"1554519721-2121","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Special Issue Editorial: Enterprise Systems Frontiers","",""
"1554519756-2213","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","The adoption of mobile app for B2C transaction in platform marketplace: An empirical examination of key drivers","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=90&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519756-2215","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","A Survival Analysis of Business Insolvency in ICT and Automobile Industries","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=90&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519725-2130","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","User personality and resistance to mandatory information systems in organizations: A theoretical model and empirical test of dispositional resistance to change","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519737-2165","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Are Critical Success Factors of BI Systems Really Unique?","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519745-2182","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Understanding Coordination in the Information Systems Domain: Conceptualization and Implications","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=60&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519725-2129","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Investigating the effect of customization on rework in a higher education enterprise resource planning (ERP) post-implementation environment: A system dynamics …","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=10&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519745-2178","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","COTS implementation through process and control perspective: A Canadian government case","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=60&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519733-2154","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","An integrated environmental perspective on software as a service adoption in manufacturing and retail firms","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=30&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519737-2160","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","Point-and-click pedagogy: is it effective for teaching information technology?","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=40&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
"1554519741-2170","https://scholar-google-se.proxy.lib.ltu.se/scholar?hl=en&as_sdt=0%2C5&as_ylo=2013&as_yhi=2018&q=challenges+%22enterprise+systems%22+source%3A%22Journal+of+Information+Technology%22&btnG=","A SYSTEMATIC, STRUCTURED APPROACH TO ORGANIZATION CHANGE MANAGEMENT: PREDICTING UNINTENDED CONSEQUENCES OF …","Next","https://scholar-google-se.proxy.lib.ltu.se/scholar?start=50&q=challenges+%22enterprise+systems%22+source:%22Journal+of+Information+Technology%22&hl=en&as_sdt=0,5&as_ylo=2013&as_yhi=2018"
